iter	Passed	Remaining
0	26	26216
1	44	22440
2	54	18211
3	102	25585
4	125	25023
5	137	22708
6	171	24365
7	195	24224
8	207	22829
9	220	21832
10	224	20161
11	228	18808
12	246	18695
13	268	18881
14	295	19409
15	312	19224
16	341	19735
17	364	19865
18	386	19974
19	403	19762
20	442	20645
21	448	19944
22	468	19890
23	472	19200
24	489	19084
25	499	18724
26	517	18656
27	533	18505
28	543	18187
29	558	18068
30	582	18195
31	597	18083
32	607	17811
33	632	17974
34	664	18313
35	692	18545
36	736	19178
37	747	18932
38	768	18931
39	792	19008
40	819	19173
41	837	19099
42	857	19084
43	876	19034
44	915	19432
45	934	19372
46	971	19706
47	990	19635
48	1000	19425
49	1034	19657
50	1070	19919
51	1097	20000
52	1135	20280
53	1141	20001
54	1168	20071
55	1201	20254
56	1206	19964
57	1266	20563
58	1271	20285
59	1311	20552
60	1339	20615
61	1380	20891
62	1420	21131
63	1435	20997
64	1439	20705
65	1455	20595
66	1507	20998
67	1538	21088
68	1568	21163
69	1587	21086
70	1603	20979
71	1616	20835
72	1635	20767
73	1684	21081
74	1724	21267
75	1757	21371
76	1803	21616
77	1847	21837
78	1894	22084
79	1953	22461
80	1993	22615
81	2058	23049
82	2094	23137
83	2136	23302
84	2181	23486
85	2227	23673
86	2302	24158
87	2389	24760
88	2447	25047
89	2516	25444
90	2520	25181
91	2524	24917
92	2597	25334
93	2655	25590
94	2716	25874
95	2785	26226
96	2849	26529
97	2899	26686
98	2984	27160
99	3064	27581
100	3108	27666
101	3160	27823
102	3174	27647
103	3179	27396
104	3185	27154
105	3191	26918
106	3196	26677
107	3201	26444
108	3207	26217
109	3211	25982
110	3215	25751
111	3218	25515
112	3225	25314
113	3229	25101
114	3235	24896
115	3239	24688
116	3247	24506
117	3251	24306
118	3256	24109
119	3261	23918
120	3266	23730
121	3270	23537
122	3275	23353
123	3280	23173
124	3286	23004
125	3289	22820
126	3292	22634
127	3296	22456
128	3299	22281
129	3304	22112
130	3308	21949
131	3313	21786
132	3317	21624
133	3320	21457
134	3323	21293
135	3325	21127
136	3328	20966
137	3331	20809
138	3334	20652
139	3336	20495
140	3338	20339
141	3341	20189
142	3344	20044
143	3347	19897
144	3350	19753
145	3368	19701
146	3387	19654
147	3390	19519
148	3395	19390
149	3428	19430
150	3440	19346
151	3473	19378
152	3477	19252
153	3479	19117
154	3492	19038
155	3522	19057
156	3538	18999
157	3543	18883
158	3550	18780
159	3556	18669
160	3564	18576
161	3580	18520
162	3585	18413
163	3599	18348
164	3609	18268
165	3626	18220
166	3637	18144
167	3645	18052
168	3654	17970
169	3661	17877
170	3674	17814
171	3688	17754
172	3707	17725
173	3721	17665
174	3733	17599
175	3739	17507
176	3745	17413
177	3754	17340
178	3757	17235
179	3773	17190
180	3783	17121
181	3796	17063
182	3800	16969
183	3808	16888
184	3814	16803
185	3826	16744
186	3840	16695
187	3849	16625
188	3862	16575
189	3870	16501
190	3883	16447
191	3890	16372
192	3906	16334
193	3910	16244
194	3916	16168
195	3923	16093
196	3934	16038
197	3945	15981
198	3953	15915
199	3965	15861
200	3969	15781
201	3980	15723
202	3986	15650
203	3989	15568
204	3999	15509
205	4008	15451
206	4016	15388
207	4026	15332
208	4036	15275
209	4039	15195
210	4044	15124
211	4054	15069
212	4062	15011
213	4070	14948
214	4077	14887
215	4086	14833
216	4093	14771
217	4102	14717
218	4110	14657
219	4116	14596
220	4123	14534
221	4137	14500
222	4154	14477
223	4160	14413
224	4165	14347
225	4171	14286
226	4176	14221
227	4183	14166
228	4191	14110
229	4197	14053
230	4201	13988
231	4217	13961
232	4224	13904
233	4232	13854
234	4236	13791
235	4241	13729
236	4248	13677
237	4255	13624
238	4264	13579
239	4271	13527
240	4274	13463
241	4280	13408
242	4285	13349
243	4296	13311
244	4306	13272
245	4317	13232
246	4324	13182
247	4338	13154
248	4346	13110
249	4364	13093
250	4370	13041
251	4381	13006
252	4393	12973
253	4398	12919
254	4404	12867
255	4406	12805
256	4419	12778
257	4426	12729
258	4430	12675
259	4435	12622
260	4441	12576
261	4450	12534
262	4456	12488
263	4472	12468
264	4483	12435
265	4492	12395
266	4495	12340
