Date,Close/Last,Volume,Open,High,Low
07/25/2023,$5.12,58404630,$5.36,$5.48,$5.03
07/24/2023,$5.85,256918800,$5.84,$6.23,$4.87
07/21/2023,$4.40,85210240,$4.34,$4.48,$4.285
07/20/2023,$4.33,19891010,$4.33,$4.37,$4.23
07/19/2023,$4.37,20198260,$4.35,$4.40,$4.28
07/18/2023,$4.31,18617230,$4.35,$4.54,$4.27
07/17/2023,$4.37,12327210,$4.34,$4.39,$4.27
07/14/2023,$4.33,17395640,$4.55,$4.57,$4.30
07/13/2023,$4.44,21391490,$4.43,$4.52,$4.395
07/12/2023,$4.40,18847550,$4.43,$4.47,$4.35
07/11/2023,$4.39,23294020,$4.30,$4.44,$4.2539
07/10/2023,$4.24,23467690,$4.18,$4.29,$4.17
07/07/2023,$4.20,15498830,$4.31,$4.355,$4.20
07/06/2023,$4.29,20903910,$4.22,$4.33,$4.19
07/05/2023,$4.25,20468370,$4.44,$4.44,$4.22
07/03/2023,$4.44,16084250,$4.39,$4.60,$4.32
06/30/2023,$4.40,17355220,$4.33,$4.40,$4.25
06/29/2023,$4.42,28284560,$4.36,$4.43,$4.18
06/28/2023,$4.41,26064390,$4.09,$4.55,$4.08
06/27/2023,$4.10,15942670,$4.08,$4.15,$4.01
06/26/2023,$4.03,14102490,$4.08,$4.13,$4.01
06/23/2023,$4.01,14575720,$4.12,$4.1499,$4.01
06/22/2023,$4.17,38343070,$4.25,$4.28,$4.07
06/21/2023,$4.53,13026850,$4.60,$4.64,$4.50
06/20/2023,$4.59,16450230,$4.69,$4.73,$4.49
06/16/2023,$4.70,18764290,$4.82,$4.83,$4.67
06/15/2023,$4.76,16103590,$4.85,$4.85,$4.68
06/14/2023,$4.90,15548650,$5.07,$5.08,$4.82
06/13/2023,$5.00,25602800,$4.86,$5.15,$4.82
06/12/2023,$4.79,10424690,$4.781,$4.88,$4.74
06/09/2023,$4.77,14855350,$4.65,$4.82,$4.65
06/08/2023,$4.68,15714830,$4.67,$4.73,$4.52
06/07/2023,$4.73,15148450,$4.76,$4.76,$4.61
06/06/2023,$4.64,15134970,$4.59,$4.77,$4.55
06/05/2023,$4.63,7717177,$4.65,$4.67,$4.55
06/02/2023,$4.55,9477932,$4.63,$4.67,$4.53
06/01/2023,$4.55,12431020,$4.51,$4.66,$4.47
05/31/2023,$4.50,13375430,$4.575,$4.6082,$4.38
05/30/2023,$4.63,13900530,$4.74,$4.775,$4.50
05/26/2023,$4.64,11843640,$4.75,$4.85,$4.63
05/25/2023,$4.70,16884090,$4.93,$4.93,$4.62
05/24/2023,$4.88,17085780,$5.00,$5.08,$4.80
05/23/2023,$5.03,12197320,$5.09,$5.14,$4.98
05/22/2023,$5.12,14009350,$5.03,$5.21,$4.96
05/19/2023,$5.03,10681970,$5.09,$5.09,$4.96
05/18/2023,$5.07,10691490,$5.08,$5.16,$4.99
05/17/2023,$5.10,13937700,$4.97,$5.15,$4.87
05/16/2023,$4.96,11911010,$5.10,$5.14,$4.94
05/15/2023,$5.14,12115060,$5.10,$5.24,$5.03
05/12/2023,$5.20,13394750,$5.27,$5.32,$5.075
05/11/2023,$5.34,13891600,$5.42,$5.48,$5.19
05/10/2023,$5.49,14568410,$5.60,$5.61,$5.395
05/09/2023,$5.54,18772750,$5.81,$5.95,$5.53
05/08/2023,$5.90,17036110,$5.83,$6.03,$5.76
05/05/2023,$5.89,28479340,$6.10,$6.11,$5.66
05/04/2023,$5.92,25007460,$5.84,$6.05,$5.72
05/03/2023,$5.74,25057160,$5.41,$5.82,$5.41
05/02/2023,$5.50,16239750,$5.67,$5.74,$5.3201
05/01/2023,$5.65,20341230,$5.53,$5.69,$5.375
04/28/2023,$5.50,18975570,$5.46,$5.54,$5.34
04/27/2023,$5.37,21015130,$5.22,$5.56,$5.162
04/26/2023,$5.19,14275120,$5.18,$5.32,$5.05
04/25/2023,$5.15,33038250,$4.94,$5.34,$4.92
04/24/2023,$4.96,22384400,$4.90,$5.03,$4.64
04/21/2023,$4.99,13973230,$4.94,$5.07,$4.91
04/20/2023,$4.97,10295820,$5.00,$5.02,$4.885
04/19/2023,$5.10,12813970,$4.95,$5.17,$4.92
04/18/2023,$5.05,13732330,$5.23,$5.23,$4.98
04/17/2023,$5.20,16213080,$5.24,$5.30,$5.13
04/14/2023,$5.12,35998030,$5.74,$5.76,$4.90
04/13/2023,$5.46,20485410,$5.48,$5.66,$5.39
04/12/2023,$5.34,33620750,$5.62,$5.74,$5.34
04/11/2023,$5.43,36630420,$5.45,$5.63,$5.25
04/10/2023,$5.24,50575730,$4.77,$5.37,$4.74
04/06/2023,$4.90,101554800,$4.4501,$5.1557,$4.31
04/05/2023,$4.05,30657220,$4.07,$4.09,$3.94
04/04/2023,$3.91,90399550,$4.08,$4.45,$3.88
04/03/2023,$5.11,33616570,$4.99,$5.145,$4.94
03/31/2023,$5.01,19003290,$4.91,$5.055,$4.87
03/30/2023,$4.97,20233540,$5.11,$5.16,$4.865
03/29/2023,$5.00,28097840,$5.14,$5.2084,$4.83
03/28/2023,$5.15,89811470,$4.51,$5.50,$4.46
03/27/2023,$4.55,20314450,$4.51,$4.58,$4.30
03/24/2023,$4.47,10528260,$4.40,$4.54,$4.38
03/23/2023,$4.47,19451510,$4.44,$4.68,$4.34
03/22/2023,$4.34,31446600,$4.73,$4.75,$4.31
03/21/2023,$4.41,20847080,$4.33,$4.4458,$4.2115
03/20/2023,$4.27,17581340,$4.25,$4.38,$4.14
03/17/2023,$4.18,27433560,$4.30,$4.34,$4.1078
03/16/2023,$4.39,28217760,$4.22,$4.65,$4.06
03/15/2023,$4.21,36323290,$4.53,$4.6101,$4.15
03/14/2023,$4.64,64871310,$5.48,$5.51,$4.36
03/13/2023,$5.46,15518080,$5.44,$5.56,$5.24
03/10/2023,$5.38,15574720,$5.56,$5.62,$5.30
03/09/2023,$5.65,16178470,$5.74,$5.92,$5.56
03/08/2023,$5.84,19862140,$6.04,$6.125,$5.6715
03/07/2023,$6.01,16229860,$6.23,$6.35,$6.00
03/06/2023,$6.25,26242750,$6.575,$6.75,$6.25
03/03/2023,$6.58,34069580,$6.20,$6.69,$6.14
03/02/2023,$6.10,28341060,$6.24,$6.37,$5.90
03/01/2023,$6.57,41177370,$6.80,$7.1067,$6.46
02/28/2023,$7.14,113458500,$7.78,$8.53,$7.11
02/27/2023,$7.61,122677600,$6.31,$8.19,$6.19
02/24/2023,$6.20,23398220,$6.13,$6.2399,$5.99
02/23/2023,$6.23,42144280,$6.29,$6.65,$5.91
02/22/2023,$6.26,68667230,$6.42,$6.79,$6.02
02/21/2023,$6.10,73513020,$5.47,$6.20,$5.44
02/17/2023,$5.24,27592370,$5.32,$5.53,$5.21
02/16/2023,$5.25,32085460,$5.24,$5.49,$5.05
02/15/2023,$5.17,46713320,$4.56,$5.27,$4.53
02/14/2023,$4.50,36199220,$4.55,$4.62,$4.39
02/13/2023,$4.68,26219430,$4.75,$4.91,$4.58
02/10/2023,$4.90,38670770,$5.21,$5.21,$4.64
02/09/2023,$5.36,29113320,$5.87,$5.88,$5.14
02/08/2023,$5.72,31424400,$6.12,$6.13,$5.61
02/07/2023,$6.18,47410970,$6.94,$6.96,$6.05
02/06/2023,$6.80,62513920,$6.31,$7.33,$6.05
