Date,Close/Last,Volume,Open,High,Low
07/25/2023,$37.92,30599150,$37.73,$38.78,$37.11
07/24/2023,$39.30,18209180,$38.87,$39.48,$38.76
07/21/2023,$38.55,13621880,$39.64,$39.67,$38.34
07/20/2023,$39.26,10626410,$38.97,$39.325,$38.715
07/19/2023,$39.23,12775320,$39.30,$39.58,$39.16
07/18/2023,$39.13,13306940,$38.74,$39.19,$38.55
07/17/2023,$38.75,16142980,$39.48,$39.54,$38.51
07/14/2023,$40.00,11047650,$40.61,$40.70,$39.935
07/13/2023,$40.50,12446370,$40.72,$41.04,$40.41
07/12/2023,$40.41,14534200,$40.84,$40.97,$40.38
07/11/2023,$39.97,11399550,$39.57,$40.10,$39.155
07/10/2023,$39.64,10507330,$39.58,$39.75,$39.19
07/07/2023,$39.61,10608470,$39.54,$39.98,$39.315
07/06/2023,$39.46,13111860,$38.92,$39.47,$38.60
07/05/2023,$39.42,12119180,$39.10,$39.54,$38.91
07/03/2023,$38.96,5578339,$38.74,$39.14,$38.63
06/30/2023,$38.56,11613690,$38.31,$38.86,$38.002
06/29/2023,$38.20,10460350,$38.33,$38.62,$38.00
06/28/2023,$38.19,12882140,$37.50,$38.21,$37.41
06/27/2023,$37.48,9125220,$37.01,$37.515,$36.45
06/26/2023,$36.70,11904880,$36.03,$36.99,$36.03
06/23/2023,$36.18,10201820,$35.93,$36.44,$35.80
06/22/2023,$36.66,8618380,$36.78,$36.955,$36.36
06/21/2023,$37.01,9085812,$37.31,$37.31,$36.88
06/20/2023,$37.32,14381930,$37.70,$37.84,$36.915
06/16/2023,$37.96,14523170,$38.12,$38.25,$37.65
06/15/2023,$38.03,15692520,$37.19,$38.26,$37.18
06/14/2023,$37.36,14879210,$37.84,$37.9676,$37.04
06/13/2023,$37.65,16449940,$36.96,$37.84,$36.96
06/12/2023,$36.67,14903480,$36.27,$37.02,$36.26
06/09/2023,$36.23,24318870,$37.49,$38.1653,$36.225
06/08/2023,$35.85,16196090,$36.20,$36.4427,$35.68
06/07/2023,$36.22,23167170,$35.39,$36.46,$35.225
06/06/2023,$35.24,15596900,$34.00,$35.38,$33.98
06/05/2023,$34.13,9037015,$34.45,$34.375,$33.66
06/02/2023,$34.28,15316570,$33.66,$34.48,$33.47
06/01/2023,$33.02,12466750,$32.49,$33.30,$32.135
05/31/2023,$32.41,17934200,$32.95,$33.045,$31.86
05/30/2023,$33.36,12671700,$33.70,$34.275,$33.315
05/26/2023,$33.29,13656810,$32.62,$33.49,$32.3501
05/25/2023,$32.41,10492690,$32.16,$32.635,$32.13
05/24/2023,$32.28,13357550,$33.00,$33.04,$32.01
05/23/2023,$33.42,17717950,$33.00,$33.835,$32.94
05/22/2023,$32.86,8866444,$32.71,$32.93,$32.39
05/19/2023,$32.66,12603860,$33.12,$33.17,$32.495
05/18/2023,$32.90,14241000,$32.28,$32.955,$32.25
05/17/2023,$32.44,11269490,$31.81,$32.59,$31.635
