Date,Close/Last,Volume,Open,High,Low
07/25/2023,$17.95,18940960,$17.55,$18.8378,$17.55
07/24/2023,$17.43,19252450,$17.62,$18.02,$16.83
07/21/2023,$18.38,22605510,$18.75,$18.8487,$17.41
07/20/2023,$18.47,23803300,$19.15,$19.50,$18.24
07/19/2023,$18.93,25966740,$18.64,$19.425,$18.28
07/18/2023,$18.28,20923070,$18.09,$18.855,$17.83
07/17/2023,$18.48,31227760,$19.17,$20.27,$18.21
07/14/2023,$19.12,39091240,$20.25,$20.65,$18.77
07/13/2023,$20.29,53242050,$17.87,$20.53,$17.82
07/12/2023,$17.65,40610090,$18.04,$18.64,$17.24
07/11/2023,$17.51,35291340,$16.80,$17.655,$16.33
07/10/2023,$16.86,34873090,$15.75,$16.91,$15.12
07/07/2023,$15.48,41207260,$13.42,$15.55,$13.42
07/06/2023,$13.54,23890370,$13.78,$13.88,$12.79
07/05/2023,$13.59,28389730,$12.82,$13.86,$12.65
07/03/2023,$13.35,28959370,$11.92,$13.455,$11.8614
06/30/2023,$11.82,30171090,$12.08,$12.41,$11.20
06/29/2023,$11.66,21510780,$11.87,$12.37,$11.51
06/28/2023,$11.54,16753270,$11.42,$11.9801,$11.24
06/27/2023,$11.65,25685630,$11.07,$11.71,$10.88
06/26/2023,$10.77,22037410,$11.49,$12.18,$10.72
06/23/2023,$11.60,29671880,$11.11,$12.11,$10.90
06/22/2023,$11.24,20888250,$11.75,$11.9697,$10.76
06/21/2023,$11.68,34973610,$11.66,$12.06,$11.4601
06/20/2023,$11.25,27317190,$10.64,$11.29,$10.119
06/16/2023,$10.40,18679710,$10.07,$10.48,$9.83
06/15/2023,$9.97,15436220,$9.80,$10.13,$9.4166
06/14/2023,$10.15,12934290,$10.30,$10.52,$10.02
06/13/2023,$10.26,10967770,$10.58,$10.69,$10.11
06/12/2023,$10.24,10172280,$10.21,$10.36,$10.02
06/09/2023,$10.33,9154109,$10.71,$10.78,$10.2209
06/08/2023,$10.55,11197860,$10.44,$10.85,$10.37
06/07/2023,$10.43,19520700,$10.78,$11.20,$10.29
06/06/2023,$10.90,26503040,$10.14,$10.98,$9.70
06/05/2023,$10.68,28106140,$11.29,$11.61,$10.45
06/02/2023,$11.71,34328020,$12.71,$12.71,$11.37
06/01/2023,$12.41,21175490,$11.79,$12.7066,$11.59
05/31/2023,$12.00,19845580,$11.58,$12.04,$11.37
05/30/2023,$12.03,34100650,$11.71,$12.7969,$11.59
05/26/2023,$10.92,18337850,$11.11,$11.845,$10.73
05/25/2023,$11.07,13904610,$11.35,$11.53,$10.66
05/24/2023,$11.27,18765640,$11.06,$11.47,$10.56
05/23/2023,$11.28,23582990,$12.39,$12.6107,$11.2501
05/22/2023,$12.20,21032960,$11.005,$12.20,$10.83
05/19/2023,$11.08,14671670,$11.26,$11.53,$10.89
05/18/2023,$11.07,16231590,$11.29,$11.8272,$10.68
05/17/2023,$11.53,16416780,$10.66,$11.61,$10.60
05/16/2023,$10.85,12465830,$10.78,$11.035,$10.55
05/15/2023,$11.08,17750400,$10.93,$11.32,$10.65
05/12/2023,$10.61,16400880,$10.60,$10.84,$10.3436
