Date,Close/Last,Volume,Open,High,Low
07/25/2023,$47.17,14188200,$47.20,$47.73,$46.93
07/24/2023,$47.32,16669820,$47.06,$47.55,$46.84
07/21/2023,$47.23,20181240,$46.55,$47.34,$46.2804
07/20/2023,$46.57,23085270,$46.07,$47.50,$45.86
07/19/2023,$47.12,21990940,$47.10,$47.90,$46.55
07/18/2023,$47.41,42620240,$45.34,$47.75,$45.34
07/17/2023,$45.51,21937910,$44.68,$45.65,$44.50
07/14/2023,$44.75,22054800,$45.905,$46.40,$44.56
07/13/2023,$45.64,21193220,$45.21,$45.935,$44.6218
07/12/2023,$44.52,21830120,$45.00,$45.22,$43.97
07/11/2023,$44.36,32164970,$42.10,$44.67,$41.746
07/10/2023,$42.78,15821820,$42.58,$43.20,$42.44
07/07/2023,$42.91,14937560,$42.07,$43.12,$41.9412
07/06/2023,$42.11,18048160,$42.99,$43.00,$41.87
07/05/2023,$43.66,15730400,$42.89,$43.88,$42.89
07/03/2023,$43.09,7578076,$43.17,$43.40,$42.58
06/30/2023,$43.17,17589240,$43.11,$43.4299,$42.92
06/29/2023,$42.58,28595290,$44.09,$44.28,$42.11
06/28/2023,$44.24,28187370,$43.50,$45.24,$43.32
06/27/2023,$43.83,29652070,$44.69,$44.83,$43.75
06/26/2023,$44.42,33692970,$43.75,$45.04,$43.68
06/23/2023,$43.34,23186640,$42.59,$43.755,$42.33
06/22/2023,$42.81,19542080,$42.30,$43.87,$42.21
06/21/2023,$42.66,21916500,$42.50,$43.2178,$41.77
06/20/2023,$42.17,19936200,$42.77,$43.47,$42.02
06/16/2023,$43.52,27986350,$43.07,$43.665,$42.53
06/15/2023,$43.36,41477790,$41.02,$43.75,$40.94
06/14/2023,$41.27,15077580,$41.30,$41.59,$40.57
06/13/2023,$41.41,16659590,$41.75,$41.83,$40.89
06/12/2023,$41.74,16016440,$41.26,$41.745,$41.06
06/09/2023,$40.99,21980660,$40.05,$41.00,$40.02
06/08/2023,$40.26,20301810,$39.18,$40.63,$39.04
06/07/2023,$38.99,23653910,$40.24,$40.25,$38.61
06/06/2023,$40.25,14570120,$40.249,$40.73,$39.93
06/05/2023,$40.42,24218600,$39.50,$40.79,$39.525
06/02/2023,$39.73,21218950,$39.00,$39.89,$39.00
06/01/2023,$38.48,17115300,$37.50,$38.50,$37.265
05/31/2023,$37.93,34506310,$37.25,$38.05,$37.07
05/30/2023,$37.56,18143190,$38.73,$39.06,$37.56
05/26/2023,$38.45,14438770,$38.24,$38.76,$38.22
05/25/2023,$37.95,18634220,$38.48,$38.585,$37.525
05/24/2023,$37.96,22074720,$38.05,$38.66,$37.77
05/23/2023,$38.66,18679370,$38.99,$39.65,$38.51
05/22/2023,$39.17,27581560,$39.13,$40.50,$39.076
05/19/2023,$39.18,19785500,$39.25,$39.49,$38.915
05/18/2023,$39.25,27828120,$37.98,$39.49,$37.76
05/17/2023,$37.84,19534400,$37.73,$37.955,$37.36
05/16/2023,$37.44,21836860,$37.93,$38.15,$37.44
05/15/2023,$38.14,17826610,$38.34,$38.48,$37.99
05/12/2023,$38.45,21626040,$38.64,$39.23,$38.20
05/11/2023,$38.42,16515580,$38.64,$39.18,$38.34
05/10/2023,$38.79,19531550,$38.60,$38.95,$38.1699
05/09/2023,$38.19,19393600,$38.49,$38.58,$37.905
05/08/2023,$38.83,30992060,$37.82,$38.93,$37.48
05/05/2023,$37.75,24682890,$37.48,$37.95,$36.87
05/04/2023,$37.49,44819400,$37.48,$37.80,$36.685
05/03/2023,$37.84,68580800,$36.75,$38.35,$36.35
05/02/2023,$36.52,102993500,$35.02,$36.625,$34.23
05/01/2023,$32.74,49867120,$32.00,$33.00,$31.76
04/28/2023,$31.05,28516090,$29.62,$31.27,$29.415
04/27/2023,$29.70,27293660,$30.07,$30.1699,$29.22
04/26/2023,$29.68,14277140,$29.70,$30.12,$29.465
04/25/2023,$29.59,20399240,$30.34,$30.47,$29.5539
04/24/2023,$30.68,14596160,$30.68,$31.06,$30.23
04/21/2023,$30.83,40543150,$31.36,$31.46,$29.71
04/20/2023,$31.50,12747080,$31.52,$32.04,$31.40
04/19/2023,$32.04,13821970,$31.35,$32.37,$31.16
04/18/2023,$31.73,18698560,$32.37,$32.93,$31.61
04/17/2023,$32.08,25206220,$32.19,$32.19,$31.63
04/14/2023,$31.48,11851870,$31.31,$31.62,$30.9302
04/13/2023,$31.44,15079610,$30.835,$31.59,$30.69
04/12/2023,$30.59,15964930,$31.19,$31.4499,$30.40
04/11/2023,$31.12,16906490,$31.75,$31.80,$30.88
04/10/2023,$31.74,16463110,$30.96,$31.785,$30.61
04/06/2023,$31.18,14486920,$30.93,$31.49,$30.50
04/05/2023,$31.12,17243300,$30.95,$31.235,$30.47
04/04/2023,$31.39,15146850,$31.94,$32.1295,$31.285
04/03/2023,$31.46,23529100,$31.50,$31.755,$31.1674
03/31/2023,$31.70,14824600,$31.42,$31.845,$31.21
03/30/2023,$31.19,16261300,$31.50,$31.85,$30.88
03/29/2023,$30.87,18917520,$30.62,$30.90,$30.20
03/28/2023,$30.07,23087310,$30.53,$30.8599,$29.98
03/27/2023,$30.62,17917990,$31.03,$31.04,$30.14
03/24/2023,$30.75,14786750,$30.94,$31.15,$30.29
03/23/2023,$31.18,16806900,$31.88,$32.2001,$30.7503
03/22/2023,$31.52,24636360,$32.58,$32.72,$31.50
03/21/2023,$32.86,19780180,$32.33,$33.14,$32.23
03/20/2023,$31.93,14157850,$31.60,$32.36,$31.46
03/17/2023,$31.78,27102500,$32.38,$32.47,$31.51
03/16/2023,$32.73,20088660,$31.59,$32.90,$31.55
03/15/2023,$31.97,28434860,$31.83,$32.235,$31.385
03/14/2023,$32.36,34241850,$32.94,$33.42,$32.16
03/13/2023,$30.82,24302640,$30.585,$31.085,$29.97
03/10/2023,$31.11,32553610,$32.00,$32.035,$30.77
03/09/2023,$32.32,27629680,$34.41,$34.52,$32.28
03/08/2023,$34.01,16174270,$34.01,$34.63,$33.52
03/07/2023,$34.14,25538360,$33.85,$35.00,$33.60
03/06/2023,$33.88,18903010,$34.585,$35.11,$33.85
03/03/2023,$34.57,14990370,$34.00,$34.59,$33.80
03/02/2023,$33.69,17976270,$32.54,$33.80,$32.23
03/01/2023,$32.99,14404670,$33.43,$33.58,$32.89
02/28/2023,$33.26,17144020,$33.75,$34.00,$33.165
02/27/2023,$33.55,19079080,$33.675,$33.85,$33.06
02/24/2023,$33.40,19101000,$33.70,$33.92,$33.02
02/23/2023,$34.47,23661720,$34.79,$34.7999,$33.70
02/22/2023,$34.54,23294040,$34.35,$35.17,$34.22
02/21/2023,$34.20,24696830,$33.78,$34.39,$33.49
02/17/2023,$34.77,27946730,$35.96,$36.23,$34.57
02/16/2023,$36.22,28202690,$35.60,$36.73,$35.452
02/15/2023,$36.23,31492170,$35.01,$36.24,$34.715
02/14/2023,$35.23,38856460,$33.11,$35.36,$32.7239
02/13/2023,$33.44,35043740,$34.50,$34.52,$33.35
02/10/2023,$34.30,41936380,$34.40,$35.3986,$34.05
02/09/2023,$35.89,44068510,$36.89,$37.36,$35.65
02/08/2023,$36.83,109597800,$37.43,$37.58,$34.50
02/07/2023,$34.90,59374040,$33.66,$35.06,$33.41
02/06/2023,$33.90,33594930,$33.53,$34.21,$32.90
02/03/2023,$33.09,25804880,$32.17,$33.95,$32.15
02/02/2023,$33.05,32045470,$32.42,$33.47,$32.42
02/01/2023,$31.49,21206350,$30.88,$31.85,$30.64
01/31/2023,$30.93,15611530,$29.75,$30.96,$29.74
01/30/2023,$29.63,17969730,$30.20,$30.54,$29.59
01/27/2023,$30.36,18223990,$29.70,$30.5968,$29.50
01/26/2023,$30.02,25383590,$30.53,$30.6472,$29.31
01/25/2023,$30.29,14488140,$29.22,$30.40,$28.80
01/24/2023,$29.93,14464360,$25.71,$31.20,$25.71
01/23/2023,$30.53,22041060,$30.63,$31.11,$30.265
01/20/2023,$30.36,23008700,$29.30,$30.39,$29.12
01/19/2023,$29.03,15651530,$28.47,$29.2854,$28.34
01/18/2023,$28.96,25257240,$29.95,$30.09,$28.885
01/17/2023,$29.20,20816490,$29.44,$29.78,$28.955
01/13/2023,$29.44,16940710,$28.68,$29.50,$28.66
01/12/2023,$29.03,17513400,$28.85,$29.185,$28.20
01/11/2023,$28.35,15421720,$28.24,$28.52,$27.92
01/10/2023,$28.04,15413740,$27.40,$28.25,$27.15
01/09/2023,$27.40,24962060,$27.30,$28.05,$27.15
01/06/2023,$26.40,19443750,$25.86,$26.54,$25.40
01/05/2023,$25.55,9942038,$25.73,$26.01,$25.55
01/04/2023,$25.91,14815960,$25.73,$25.97,$25.32
01/03/2023,$25.36,22155280,$25.37,$25.75,$25.02
12/30/2022,$24.73,20474050,$24.42,$24.85,$24.24
12/29/2022,$24.91,17828300,$24.75,$25.375,$24.29
12/28/2022,$24.59,15669210,$24.21,$24.72,$24.02
12/27/2022,$24.40,15258600,$24.29,$24.70,$23.90
12/23/2022,$24.64,11610050,$24.46,$24.725,$24.162
12/22/2022,$24.64,23752730,$24.93,$25.10,$24.0415
12/21/2022,$25.36,20444480,$25.15,$25.67,$24.8709
12/20/2022,$24.96,28536480,$24.72,$25.28,$24.61
12/19/2022,$24.95,35616090,$26.02,$26.02,$24.69
12/16/2022,$25.97,22684200,$26.06,$26.45,$25.66
12/15/2022,$26.24,19383730,$26.98,$27.11,$25.88
12/14/2022,$27.47,19427280,$27.07,$27.82,$26.77
12/13/2022,$26.98,27635360,$28.03,$28.455,$26.91
12/12/2022,$27.03,16483630,$26.42,$27.23,$26.11
12/09/2022,$26.55,14253510,$26.40,$26.96,$26.24
12/08/2022,$26.45,14909650,$26.52,$27.03,$26.2761
12/07/2022,$26.40,21193950,$26.61,$26.87,$26.02
12/06/2022,$26.92,19772910,$27.70,$27.86,$26.70
12/05/2022,$27.70,17486340,$28.41,$28.86,$27.65
12/02/2022,$28.75,15980530,$27.38,$28.78,$27.19
12/01/2022,$28.34,18066600,$29.22,$29.60,$28.30
11/30/2022,$29.14,18177030,$27.80,$29.14,$27.64
11/29/2022,$27.76,15007820,$28.05,$28.23,$27.58
11/28/2022,$27.76,11126990,$28.11,$28.655,$27.73
11/25/2022,$28.50,5200356,$28.71,$28.88,$28.24
11/23/2022,$28.79,12964920,$28.36,$28.94,$28.14
11/22/2022,$28.08,20368640,$28.27,$28.33,$27.3117
11/21/2022,$28.25,16159380,$28.52,$28.71,$28.01
11/18/2022,$28.96,15676270,$29.21,$29.405,$28.70
11/17/2022,$28.88,22684060,$29.10,$29.50,$28.40
11/16/2022,$30.04,26540200,$30.95,$31.16,$29.83
11/15/2022,$31.57,43066490,$30.25,$31.815,$30.00
11/14/2022,$29.07,24426190,$28.85,$29.70,$28.79
11/11/2022,$29.15,35861060,$28.95,$30.435,$28.70
11/10/2022,$28.85,35196920,$28.38,$29.32,$28.10
11/09/2022,$26.55,21186270,$27.31,$28.005,$26.44
11/08/2022,$27.44,27033900,$27.57,$28.33,$26.82
11/07/2022,$27.69,19204080,$28.705,$28.825,$27.615
11/04/2022,$28.39,22304190,$29.44,$29.725,$28.04
11/03/2022,$28.73,28033210,$28.03,$29.52,$27.71
11/02/2022,$28.81,37083450,$29.57,$30.16,$28.63
11/01/2022,$29.75,87994010,$30.07,$30.9999,$29.12
10/31/2022,$26.57,37327040,$27.61,$27.73,$26.30
10/28/2022,$27.50,27116700,$27.81,$27.88,$26.49
10/27/2022,$27.82,16768630,$28.40,$28.76,$27.66
10/26/2022,$28.20,17349540,$28.17,$28.9801,$27.865
10/25/2022,$28.36,17366380,$28.00,$28.545,$27.33
10/24/2022,$27.65,19194220,$27.71,$27.98,$26.51
10/21/2022,$28.02,20651550,$27.50,$28.435,$27.16
10/20/2022,$27.87,20835270,$27.32,$28.68,$27.24
10/19/2022,$27.53,15428470,$27.06,$27.73,$26.85
10/18/2022,$27.61,25643310,$27.07,$27.71,$26.495
10/17/2022,$25.94,25074910,$25.26,$26.265,$25.08
10/14/2022,$24.71,22553950,$25.65,$26.07,$24.66
10/13/2022,$25.00,32838500,$24.47,$26.025,$24.19
10/12/2022,$25.98,30945850,$25.05,$26.115,$24.56
10/11/2022,$24.66,92468790,$25.545,$26.05,$22.94
10/10/2022,$27.53,13413530,$28.24,$28.45,$27.23
10/07/2022,$28.07,19690230,$28.83,$28.86,$27.92
10/06/2022,$29.73,25399520,$29.20,$30.24,$28.96
10/05/2022,$29.18,21458520,$28.48,$29.65,$28.31
10/04/2022,$29.19,25462210,$27.625,$29.25,$27.5995
10/03/2022,$26.72,19940790,$26.76,$26.90,$25.96
09/30/2022,$26.50,23894900,$26.16,$27.31,$26.16
09/29/2022,$26.42,26170830,$27.66,$27.72,$26.00
09/28/2022,$28.04,21290380,$27.43,$28.16,$27.19
09/27/2022,$27.57,22392780,$27.67,$28.49,$27.16
09/26/2022,$26.89,24953820,$27.71,$28.16,$26.82
09/23/2022,$27.82,26472610,$28.01,$28.34,$27.36
09/22/2022,$28.58,29038110,$30.19,$30.19,$28.53
09/21/2022,$30.47,22328370,$31.45,$31.675,$30.35
09/20/2022,$31.49,23652410,$31.49,$32.56,$31.19
09/19/2022,$31.49,22867570,$31.44,$31.98,$31.06
09/16/2022,$31.93,50970680,$30.96,$32.145,$30.88
09/15/2022,$33.13,41849090,$32.95,$34.325,$32.7401
09/14/2022,$33.05,34493390,$31.25,$33.14,$31.10
09/13/2022,$31.32,29364740,$30.69,$31.78,$30.22
09/12/2022,$32.50,29349910,$31.95,$32.62,$31.85
09/09/2022,$31.78,28055860,$31.00,$32.05,$30.89
09/08/2022,$30.68,29393510,$29.42,$30.90,$29.29
09/07/2022,$30.03,20632170,$28.91,$30.15,$28.82
09/06/2022,$28.89,20422800,$29.34,$29.37,$28.28
09/02/2022,$29.05,14604360,$29.50,$29.635,$28.6499
09/01/2022,$28.92,17828090,$28.17,$28.95,$27.69
08/31/2022,$28.76,20740660,$29.11,$29.8799,$28.75
08/30/2022,$28.71,24409320,$29.18,$29.29,$28.12
08/29/2022,$28.74,17245100,$28.10,$29.19,$28.06
08/26/2022,$28.58,16490810,$29.51,$29.71,$28.3601
08/25/2022,$29.62,15470920,$28.89,$29.64,$28.81
08/24/2022,$28.71,20022520,$27.93,$29.22,$27.85
08/23/2022,$27.81,24298330,$28.06,$28.675,$27.75
08/22/2022,$28.00,20233070,$28.34,$28.805,$27.87
08/19/2022,$29.01,24180910,$29.50,$29.57,$28.63
08/18/2022,$30.15,20831620,$30.56,$30.62,$29.86
08/17/2022,$30.72,24239350,$31.65,$31.71,$30.44
08/16/2022,$32.38,28072340,$32.08,$32.725,$31.33
08/15/2022,$32.49,14149210,$32.10,$32.91,$31.93
08/12/2022,$32.47,21950690,$32.59,$32.76,$31.70
08/11/2022,$32.24,24624630,$33.16,$33.36,$32.0415
08/10/2022,$32.80,31318070,$32.44,$33.19,$32.23
08/09/2022,$31.06,27042940,$31.37,$31.55,$30.72
08/08/2022,$31.85,28064920,$32.33,$32.955,$31.66
08/05/2022,$32.01,39963620,$31.20,$32.63,$31.04
08/04/2022,$31.85,55573600,$29.78,$32.23,$29.60
08/03/2022,$30.19,62061200,$29.72,$31.43,$29.36
08/02/2022,$29.25,107926300,$28.49,$29.43,$27.10
08/01/2022,$24.60,46960680,$23.43,$24.62,$22.885
